speaker_id,start_time,end_time,transcribed_content,named_entities,sentiment_score,tone_intensity
SPEAKER_01,9.5s,11.2s," OK, so the drive you're going to complete and use the...",[],0.0,0.010894160717725754
SPEAKER_01,11.5s,12.1s, automation.,[],0.0,0.01202043704688549
SPEAKER_01,12.6s,20.0s, object detection systems. That means you will not need to operate the vehicle.  So keep your hands off the steering wheel and feed off the pedals once we get that drive.,[],0.0,0.008123097941279411
SPEAKER_02,19.9s,20.5s, Okay.,[],0.2263,0.023896601051092148
SPEAKER_01,20.7s,25.5s," So when you see that sim driver indicator highlighted green, make sure you don't hit the brake at any point during the drive.",[],0.3182,0.01121792383491993
SPEAKER_01,26.4s,33.4s," For this drive, the CarCab Lookout will have the ODS for getting visual feedback for targets that are in the environment, so the CarCab Lookout should pay attention.","[{'entity': 'ORG', 'text': 'ODS'}]",-0.1027,0.011823794804513454
SPEAKER_01,33.6s,34.9s, the screen,[],0.0,0.010578680783510208
SPEAKER_01,35.3s,36.4s, went out during the mission.,[],0.0,0.007958139292895794
SPEAKER_01,37.0s,39.0s, Remember to tap the targets on that ODS.,"[{'entity': 'ORG', 'text': 'ODS'}]",0.0,0.010109880939126015
SPEAKER_01,39.1s,41.1s, as well as completing those workstation tasks.,[],0.2732,0.008809160441160202
SPEAKER_01,45.9s,47.9s," Alright, so all drivers, put your foot on the brake.",[],0.25,0.012343930080533028
SPEAKER_01,49.5s,51.9s, You now remove your foot from the brake until I instruct you to...,[],0.0,0.01461726799607277
SPEAKER_01,54.1s,54.7s, you may start.,[],0.0,0.01615031622350216
SPEAKER_01,57.5s,59.8s," All drivers, with your foot still on the brake.",[],0.0,0.04704761505126953
SPEAKER_02,63.2s,64.6s, You drove through me!,[],0.0,0.0990273505449295
SPEAKER_01,75.1s,75.6s, I neither.,[],0.0,0.008375789038836956
SPEAKER_01,77.9s,80.2s," hard-capped driver, and only the car-capped driver.",[],0.0,0.015647834166884422
SPEAKER_02,80.5s,81.3s, Mm-hmm. Yes.,[],0.4019,0.03534696623682976
SPEAKER_01,81.1s,81.7s, yea right,[],0.0,0.014628763310611248
SPEAKER_01,82.8s,84.2s, Make sure everyone is in drive.,[],0.3182,0.013548824936151505
SPEAKER_02,86.2s,87.2s, I am now in drive.,[],0.0,0.06087446212768555
SPEAKER_01,87.3s,90.0s," Okay, car cab driver and only the car cab driver.",[],0.2263,0.014299766160547733
SPEAKER_01,90.4s,91.6s, you begin moving forward.,[],0.0,0.0103167574852705
SPEAKER_02,95.1s,96.5s, as I drove through.,[],0.0,0.05626413971185684
SPEAKER_01,95.8s,98.4s," desktop driver, she may remove her phone.",[],0.0,0.025127729400992393
SPEAKER_02,98.2s,98.7s,,[],0.0,0.019432377070188522
SPEAKER_02,99.7s,101.1s, We now have sim driver on.,[],0.0,0.0690961480140686
SPEAKER_04,101.8s,105.3s, We're looking at the person on the scooter.,[],0.0,0.020667338743805885
SPEAKER_04,108.6s,110.0s, What color scooter?  Red.,"[{'entity': 'ORG', 'text': 'Red'}]",0.0,0.024752642959356308
SPEAKER_06,110.0s,110.5s, I,[],0.0,0.022745901718735695
SPEAKER_06,111.1s,111.9s, Crossbody pack.,[],0.0,0.013254259712994099
SPEAKER_04,113.0s,113.9s, Scooter?,"[{'entity': 'ORG', 'text': 'Scooter'}]",0.0,0.027328474447131157
SPEAKER_04,114.1s,115.2s," Yeah, there's a press button.",[],0.296,0.025223976001143456
SPEAKER_06,119.8s,120.9s," It's driving, out of it.",[],0.0,0.014933654107153416
SPEAKER_02,125.9s,129.0s, I see scooters on both sides of the road.,[],0.0,0.07814059406518936
SPEAKER_04,129.0s,130.4s," Uh, nope, not this one.",[],0.0,0.013528086245059967
SPEAKER_02,132.5s,134.2s, motorcycles,[],0.0,0.04051117226481438
SPEAKER_02,134.7s,136.6s," Ah, yeah, that's on the left side of the road.",[],0.296,0.12603500485420227
SPEAKER_04,135.8s,136.5s, the other side of the road.,[],0.0,0.13630802929401398
SPEAKER_06,137.6s,138.9s," Yeah, I saw her.",[],0.296,0.045654941350221634
SPEAKER_02,138.7s,139.4s, Passing now.,[],0.0,0.09757997840642929
SPEAKER_06,141.1s,142.5s, How was the practice?,[],0.0,0.011699019931256771
SPEAKER_02,151.1s,151.9s, Do we have any target?,[],0.0,0.06401699781417847
SPEAKER_04,153.4s,157.0s," Not yet. I hit target identified, but...  Yes, Paul.","[{'entity': 'PERSON', 'text': 'Paul'}]",0.5499,0.014710028655827045
SPEAKER_02,161.0s,164.3s, Those motorcyclists were giving me a hand.  There's a car.,[],0.6808,0.05330214649438858
SPEAKER_02,168.2s,170.7s," Uh, pass. Oh, I see it. It's at, uh, 10 o'clock.","[{'entity': 'TIME', 'text': ""10 o'clock""}]",0.0,0.061998460441827774
SPEAKER_02,173.8s,175.0s, I think he's...,[],0.0,0.02820252813398838
SPEAKER_00,175.0s,176.9s," Yeah, I saw the one I got.",[],0.296,0.05432805046439171
SPEAKER_02,175.1s,177.8s," on the left side, yeah, mm-hmm.","[{'entity': 'PERSON', 'text': 'mm-hmm'}]",0.296,0.04446743428707123
SPEAKER_06,176.9s,177.6s,,[],0.0,0.020143337547779083
SPEAKER_02,177.9s,178.6s, Passing now.,[],0.0,0.0659736767411232
SPEAKER_06,180.2s,181.5s, We're also passing it out.,[],0.0,0.012387420050799847
SPEAKER_02,189.0s,191.7s, Why is car three so far behind car two?,"[{'entity': 'CARDINAL', 'text': 'three'}, {'entity': 'CARDINAL', 'text': 'two'}]",0.0,0.05956859141588211
SPEAKER_05,212.5s,213.7s, Is the ODS working?,"[{'entity': 'ORG', 'text': 'ODS'}]",0.0,0.018008295446634293
SPEAKER_04,215.0s,217.3s," Yes, sometimes it has a green button there.",[],0.4019,0.030100243166089058
SPEAKER_04,217.9s,219.4s,,[],0.0,0.01426532119512558
SPEAKER_05,220.7s,225.6s," No, you won't see anything, but Jack, you should see something in the passenger seat of the ODS's parking.","[{'entity': 'PERSON', 'text': 'Jack'}, {'entity': 'ORG', 'text': 'ODS'}]",0.0,0.020395928993821144
SPEAKER_00,225.9s,228.5s, There should be a white car right now.,[],0.0,0.043563343584537506
SPEAKER_04,227.7s,229.4s, I see a green button here.,[],0.0,0.02978792041540146
SPEAKER_00,229.8s,230.4s, and why,[],0.0,0.04576246440410614
SPEAKER_04,230.4s,232.0s, for a point,[],0.0,0.02819361723959446
SPEAKER_00,231.7s,233.4s," STV like a tube, yeah.","[{'entity': 'ORG', 'text': 'STV'}]",0.5719,0.045828927308321
SPEAKER_04,232.6s,233.7s, Now we're looking at it.,[],0.0,0.03530450537800789
SPEAKER_04,234.4s,234.9s, Fight.,[],-0.3818,0.01748540997505188
SPEAKER_04,235.4s,238.7s," Dan, or SUV?  F-E-B-I.  Yeah, SUV.","[{'entity': 'PERSON', 'text': 'Dan'}, {'entity': 'PRODUCT', 'text': 'F-E-B-I.  Yeah'}]",0.296,0.0197729654610157
SPEAKER_02,242.4s,243.1s, I see a camel.,[],0.0,0.03731098771095276
SPEAKER_02,248.8s,256.0s, We got cars coming up. There's a driving white car on the left.,[],0.0,0.05150355026125908
SPEAKER_00,253.2s,253.8s, Like.,[],0.3612,0.08265914767980576
SPEAKER_04,256.0s,256.6s,,[],0.0,0.025433994829654694
SPEAKER_02,258.5s,262.4s, But he's not.  Is it?  Passing now.  I think that was it.  Yeah.,[],0.4215,0.048248860985040665
SPEAKER_00,258.6s,259.3s, Uh...,[],0.0,0.07438637316226959
SPEAKER_02,262.5s,269.8s, uh we have another white SUV and yeah passing that one on the left now,"[{'entity': 'CARDINAL', 'text': 'one'}]",0.296,0.043332360684871674
SPEAKER_00,267.9s,268.8s, Yeah.,[],0.296,0.04466242343187332
SPEAKER_02,280.3s,281.7s, Passing military checkpoint.,[],0.0,0.03993982821702957
SPEAKER_00,288.5s,294.6s, There was a truck and there was a tent on the truck.,[],0.0,0.027684105560183525
SPEAKER_06,296.2s,297.2s, and it's got like,[],0.3612,0.012705624103546143
SPEAKER_05,313.6s,316.1s," Jack, do you feel like this has given you enough to?","[{'entity': 'PERSON', 'text': 'Jack'}]",0.3612,0.02475704252719879
SPEAKER_05,316.2s,318.1s, Understand or do you want to continue?,[],0.0772,0.022025831043720245
SPEAKER_00,319.4s,325.0s," Yeah, I think it's, um, how about you, Commander? I think it's enough.",[],0.296,0.038912199437618256
SPEAKER_02,325.0s,328.3s," I mean, I'm having fun, but we can stop if you want to.",[],-0.0516,0.06177155300974846
SPEAKER_00,328.3s,328.9s, You,[],0.0,0.04020550101995468
SPEAKER_02,328.9s,330.7s, Okay.,[],0.2263,0.02460971660912037
SPEAKER_01,331.0s,331.5s, Feel it.,[],0.0,0.0252695269882679
SPEAKER_01,331.7s,338.6s," Alright, so all drivers will bow and hit your foot on the brake.",[],0.25,0.013048096559941769
SPEAKER_02,339.6s,340.7s, Commander breaking out,[],0.0,0.06517565250396729
SPEAKER_02,348.1s,349.3s, Please don't run through me.,[],0.3182,0.07913564145565033
SPEAKER_02,349.3s,350.3s, No.,[],0.0,0.07059460878372192
SPEAKER_02,351.8s,356.4s, We've been rear-ended and parked now.,[],0.0,0.03590325266122818
SPEAKER_03,357.0s,357.6s," Good job, Pete.","[{'entity': 'PERSON', 'text': 'Pete'}]",0.4404,0.028260521590709686
